[2021-05-25 23:20:17.025:814978][http-nio-8999-exec-2] INFO  c.d.s.j.c.BillionairesControllergetBillionaires[28] - reached getBillionaires
[2021-05-25 23:20:17.025:814994][http-nio-8999-exec-2] ERROR c.d.s.j.c.BillionairesControllergetBillionaires[33] - list is empty
[2021-05-25 23:21:58.025:916054][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 14936 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:21:58.025:916054][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:22:22.025:940631][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 14936 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:22:22.025:940632][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:22:25.025:943254][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 2.709 seconds (JVM running for 945.876)
[2021-05-25 23:23:18.025:996751][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 14936 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:23:18.025:996752][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:23:20.025:998083][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 1.4 seconds (JVM running for 1000.704)
[2021-05-25 23:24:25.025:1063868][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 14936 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:24:25.025:1063868][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:24:26.025:1064414][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 0.581 seconds (JVM running for 1067.035)
[2021-05-25 23:24:39.025:1077212][http-nio-8999-exec-2] INFO  c.d.s.j.c.BillionairesControllergetBillionaires[28] - reached getBillionaires
[2021-05-25 23:24:39.025:1077235][http-nio-8999-exec-2] ERROR c.d.s.j.c.BillionairesControllergetBillionaires[33] - list is empty
[2021-05-25 23:26:08.025:1166372][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 14936 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:26:08.025:1166373][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:26:09.025:1166952][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 0.614 seconds (JVM running for 1169.573)
[2021-05-25 23:26:20.025:943][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 23376 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:26:20.025:946][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:26:24.025:4710][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 4.386 seconds (JVM running for 5.875)
[2021-05-25 23:29:13.025:173957][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 23376 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:29:13.025:173958][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:29:45.025:205803][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 23376 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:29:45.025:205803][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:29:46.025:206563][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 0.805 seconds (JVM running for 207.728)
[2021-05-25 23:30:05.025:226018][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 23376 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:30:05.025:226018][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:30:06.025:226624][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 0.644 seconds (JVM running for 227.789)
[2021-05-25 23:30:15.025:235938][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 23376 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:30:15.025:235938][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:30:15.025:236449][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 0.547 seconds (JVM running for 237.614)
[2021-05-25 23:30:33.025:254032][http-nio-8999-exec-2] INFO  c.d.s.j.c.BillionairesControllergetBillionaires[28] - reached getBillionaires
[2021-05-25 23:30:33.025:254309][http-nio-8999-exec-2] ERROR c.d.s.j.c.BillionairesControllergetBillionaires[33] - list is empty
[2021-05-25 23:31:07.025:287666][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 23376 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:31:07.025:287667][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:33:03.025:404085][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 23376 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:33:03.025:404087][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:33:39.025:440077][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 23376 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:33:39.025:440078][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:33:41.025:441911][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 1.949 seconds (JVM running for 443.076)
[2021-05-25 23:35:44.025:956][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 23076 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:35:44.025:960][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:35:48.025:5083][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 4.718 seconds (JVM running for 6.272)
[2021-05-25 23:37:32.025:108990][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 23076 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:37:32.025:108990][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:37:34.025:110412][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 1.473 seconds (JVM running for 111.602)
[2021-05-25 23:39:06.025:202768][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 23076 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:39:06.025:202769][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:39:07.025:203572][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 0.881 seconds (JVM running for 204.761)
[2021-05-25 23:39:24.025:220922][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 23076 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:39:24.025:220922][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:39:44.025:240267][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 23076 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:39:44.025:240268][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:39:59.025:255889][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 23076 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:39:59.025:255889][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:40:15.025:271298][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 23076 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:40:15.025:271298][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:41:33.025:349860][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 23076 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:41:33.025:349871][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:41:36.025:352291][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 2.767 seconds (JVM running for 353.48)
[2021-05-25 23:41:48.025:364205][http-nio-8999-exec-1] INFO  c.d.s.j.c.BillionairesControllergetBillionaires[28] - reached getBillionaires
[2021-05-25 23:41:48.025:364625][http-nio-8999-exec-1] ERROR c.d.s.j.c.BillionairesControllergetBillionaires[33] - list is empty
[2021-05-25 23:43:16.025:452184][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 23076 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:43:16.025:452184][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:43:17.025:453271][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 1.159 seconds (JVM running for 454.461)
[2021-05-25 23:43:21.025:457576][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 23076 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:43:21.025:457577][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:43:22.025:458278][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 0.747 seconds (JVM running for 459.467)
[2021-05-25 23:43:36.025:472614][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarting[55] - Starting SpringJpaApplication using Java 1.8.0_161 on DESKTOP-B1EBDTJ with PID 23076 (C:\Users\LEE\eclipse-workspace\spring-jpa\target\classes started by LEE in C:\Users\LEE\eclipse-workspace\spring-jpa)
[2021-05-25 23:43:36.025:472615][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStartupProfileInfo[663] - No active profile set, falling back to default profiles: default
[2021-05-25 23:43:37.025:473162][restartedMain] INFO  c.demo.spring.SpringJpaApplicationlogStarted[61] - Started SpringJpaApplication in 0.586 seconds (JVM running for 474.351)
[2021-05-25 23:43:39.025:475332][http-nio-8999-exec-2] INFO  c.d.s.j.c.BillionairesControllergetBillionaires[28] - reached getBillionaires
[2021-05-25 23:43:39.025:475367][http-nio-8999-exec-2] ERROR c.d.s.j.c.BillionairesControllergetBillionaires[36] - list is not empty
